1	103	225	98	66
1	110	222	116	65
1	113	224	119	61
1	117	229	114	62
0	110	229	115	61
1	132	232	121	67
1	121	228	117	67
1	119	225	117	62
1	116	221	122	66
1	115	228	119	66
0	123	242	122	69
1	125	236	125	60
0	115	226	111	63
1	112	226	109	58
1	117	227	112	62
1	114	225	112	67
1	127	231	112	61
1	116	227	115	64
1	123	230	116	60
1	125	234	116	66
1	117	237	112	63
1	123	235	120	62
1	114	235	119	61
1	116	254	130	75
1	149	274	134	75
2	136	262	118	62
1	123	238	119	64
1	111	236	117	59
1	112	231	113	63
1	119	217	107	56
1	109	214	111	57
1	113	224	118	63
1	114	231	112	61
1	113	211	114	65
1	118	227	116	61
0	121	228	115	62
1	112	232	116	63
1	122	222	115	64
1	120	231	109	65
1	114	221	117	64
1	115	235	115	61
1	115	233	113	64
0	111	231	111	63
1	117	248	115	57
0	113	226	113	61
1	105	235	116	63
1	113	226	119	61
1	115	236	115	61
1	117	234	105	61
1	120	242	119	66
