928	1875	6855	1938	3428
1095	2154	6949	2291	3531
1078	2211	7247	2169	3596
1094	2181	7288	2305	3599
1075	2157	7250	2222	3584
1058	2160	7242	2202	3537
1109	2219	7238	2264	3563
1099	2191	7137	2332	3555
1039	2108	7248	2138	3570
1084	2222	7380	2242	3967
1155	2490	8313	2442	3817
1183	2366	7507	2366	3665
1168	2281	7574	2429	3640
1083	2201	7293	2336	3621
1165	2336	7573	2493	3688
1062	2248	7462	2199	3655
1109	2146	7507	2273	3668
1167	2176	7502	2405	3732
1084	2941	8345	2396	3873
1190	2483	7887	2494	3976
1191	2362	9034	2444	3882
1225	2480	7914	2515	3842
1200	2439	7624	2318	3540
1120	2252	7244	2297	3570
1067	2158	7236	2265	3619
1088	2126	7226	2147	3563
1113	2167	7406	2267	3623
1109	2159	7268	2260	3669
1142	2294	7959	2385	3837
1110	2289	7397	2308	3492
1117	2314	7156	2228	3721
1123	2290	6949	2245	3427
1005	2032	6915	2287	3631
1076	2231	7286	2741	4234
1375	2358	8527	2535	3684
1061	2189	7245	2253	3616
1173	2259	7274	2272	3525
1085	2137	7145	2276	3571
1113	2215	7292	2289	3576
1117	2144	7166	2282	3562
1094	2229	7409	2414	3589
1093	2295	7218	2213	3578
1093	2247	7162	2258	3490
1072	2187	7196	2210	3470
1065	2116	7061	2297	3549
1126	2202	7179	2326	3597
1088	2238	7122	2222	3548
1105	2151	7010	2323	3529
1103	2186	7123	2263	3515
1052	2158	7141	2266	3525
