1	13	30	5	6
0	12	23	5	7
0	12	29	8	6
0	12	28	7	6
0	14	30	10	6
0	16	25	5	6
0	14	25	5	6
1	18	25	9	8
0	11	24	7	10
1	12	27	9	6
1	13	28	5	11
0	14	23	5	6
0	14	28	5	11
0	12	23	5	6
0	11	30	5	6
0	11	24	5	13
1	13	24	5	11
1	11	24	8	9
0	13	31	5	12
0	11	24	6	12
0	14	24	9	8
1	11	26	7	11
0	14	25	5	11
1	11	28	7	6
0	13	25	5	11
0	12	31	5	6
1	14	26	9	7
1	12	27	8	6
0	16	26	5	6
0	10	24	5	10
0	14	25	9	6
1	18	24	9	8
1	11	27	10	9
0	13	24	5	6
1	11	29	5	6
1	11	26	5	6
1	19	24	5	13
1	14	24	5	11
0	12	24	5	6
1	13	23	10	6
0	17	30	5	7
1	14	32	5	6
1	17	30	5	13
1	13	24	10	12
1	18	28	9	7
0	11	23	6	11
1	11	24	5	6
0	14	27	5	6
0	11	27	10	8
1	11	24	5	8
