106	217	771	223	400
111	232	768	245	411
115	238	816	218	408
122	237	801	238	413
110	254	796	249	412
127	232	783	222	399
111	230	810	232	401
114	219	814	248	391
125	214	806	256	391
112	222	789	230	410
121	241	801	218	397
101	239	779	212	404
133	228	794	227	387
107	240	749	237	387
121	234	815	220	414
114	226	769	221	391
121	227	790	226	382
114	225	813	212	408
100	207	783	205	393
104	236	779	218	389
118	240	806	238	404
124	227	780	227	402
119	221	773	228	412
111	219	762	224	400
118	237	794	257	420
108	221	747	225	397
115	236	804	226	388
115	224	768	218	408
114	226	800	249	399
115	236	782	231	393
114	228	779	208	384
116	220	769	233	386
110	223	772	223	404
120	217	777	233	404
113	220	825	221	407
112	221	774	215	389
113	225	741	230	425
126	245	815	247	398
116	221	804	223	405
122	230	823	214	402
117	229	768	224	392
116	240	807	220	412
123	229	756	215	407
114	212	771	232	398
123	224	822	224	392
119	231	823	219	391
102	223	744	215	378
117	228	817	217	395
129	236	811	230	406
122	251	782	226	401
