1	88	151	39	50
1	77	152	32	36
0	80	162	38	44
1	76	156	38	44
1	81	156	37	36
1	75	153	32	37
0	76	148	38	43
0	74	154	31	39
0	78	165	33	39
0	72	172	31	45
1	80	161	44	37
0	74	159	37	40
1	84	145	37	50
1	87	155	32	38
1	77	140	42	38
1	73	154	38	42
1	82	151	36	42
2	72	154	39	43
0	85	163	30	43
0	78	154	37	37
1	72	160	42	44
1	79	155	32	46
1	84	164	44	41
1	76	166	38	49
1	82	166	49	38
1	90	166	32	39
1	76	147	39	46
1	88	144	32	41
1	77	154	41	36
1	90	167	33	39
2	89	160	38	39
1	80	141	31	48
1	74	165	31	45
1	74	160	44	37
1	77	153	38	37
0	76	146	37	45
1	87	146	37	45
1	73	153	46	43
1	74	164	42	47
1	78	170	42	43
0	74	175	32	40
2	86	150	50	43
1	76	152	38	38
0	74	148	38	40
1	78	157	38	43
0	72	146	43	37
1	76	146	40	43
1	72	151	38	39
1	89	146	31	44
0	72	152	37	38
