0	4	8	3	3
0	5	10	6	3
0	5	9	4	3
0	5	10	3	2
0	7	10	5	2
1	5	10	4	2
1	4	11	4	3
1	4	10	5	3
0	5	9	4	3
0	4	10	3	2
0	6	9	4	2
0	4	9	3	3
0	5	9	5	3
0	5	10	4	3
0	5	10	8	4
0	4	9	5	3
0	4	11	6	3
0	6	8	4	3
0	5	10	5	3
0	5	9	5	4
1	5	9	5	3
0	5	9	5	3
0	6	10	5	3
1	4	14	4	2
0	4	9	6	5
1	5	9	3	3
0	4	9	5	2
0	5	8	4	2
0	6	11	4	3
1	5	9	5	2
0	4	12	5	3
0	5	9	5	4
1	5	10	5	2
0	5	11	5	2
0	4	9	5	3
0	5	8	5	2
0	5	9	5	2
0	4	11	5	2
0	4	10	4	2
0	6	11	3	3
0	5	9	8	3
0	6	9	5	2
1	6	11	4	3
1	5	8	6	4
0	4	9	5	3
0	4	9	5	3
0	5	11	5	3
1	5	11	4	2
0	3	9	5	4
0	5	9	4	2
